car_type,price,Ubicación,Tipo de vehículo,year,km,Link
TESLA Model S 75D 4WD,32.390 €,Alicante,Eléctrico,2018,76.210 km,/tesla-model-s-75d-4wd-5p-electrico-/-hibrido-2018-en-alicante-58797876-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,35.500 €,Tarragona,Eléctrico,2021,65.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-tarragona-58394253-covo.aspx
TESLA Model 3 Performance AWD,28.900 €,Barcelona,Eléctrico,2019,90.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-barcelona-58154641-covo.aspx
TESLA Model X 100D 4WD,46.000 €,Barcelona,Eléctrico,2018,65.000 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2018-en-barcelona-59168312-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,31.890 €,Alicante,Eléctrico,2021,98.226 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-alicante-58415529-covo.aspx
TESLA Model X 75D 4WD,34.990 €,Barcelona,Eléctrico,2019,119.000 km,/tesla-model-x-75d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-58718927-covo.aspx
TESLA Model S 75,37.000 €,A Coruña,Eléctrico,2017,61.000 km,/tesla-model-s-75-5p-electrico-/-hibrido-2017-en-a-coruna-57836043-covo.aspx
TESLA Model 3 Estandar Plus RWD,32.980 €,Sevilla,Eléctrico,2021,63.776 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2021-en-sevilla-59393818-covo.aspx
TESLA Model S Gran Autonomia Plus 4WD,34.500 €,Cantabria,Eléctrico,2020,55.000 km,/tesla-model-s-gran-autonomia-plus-4wd-5p-electrico-/-hibrido-2020-en-cantabria-59201229-covo.aspx
TESLA Model 3 Performance AWD,42.000 €,Barcelona,Eléctrico,2023,31.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2023-en-barcelona-59338930-covo.aspx
TESLA Model Y Traccion Trasera RWD,36.500 €,Madrid,Eléctrico,2024,10.778 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2021-en-madrid-59392665-covo.aspx
TESLA Model X Performance,58.590 €,Madrid,Eléctrico,2020,34.162 km,/tesla-model-x-performance-5p-electrico-/-hibrido-2019-en-madrid-59539207-covo.aspx
TESLA Model S 90D 4WD 5p.,25.999 €,Madrid,Eléctrico,2017,260.000 km,/tesla-model-s-90d-4wd-5p-electrico-hibrido-2017-en-madrid-58999473-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.990 €,Jaén,Eléctrico,2019,90.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-jaen-57340890-covo.aspx
TESLA Model S P100D 4WD,44.900 €,Barcelona,Eléctrico,2018,107.000 km,/tesla-model-s-p100d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-59466020-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.850 €,Barcelona,Eléctrico,2020,128.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-barcelona-59504048-covo.aspx
TESLA Model 3 RWD,31.820 €,Guipúzcoa,Eléctrico,2022,30.797 km,/tesla-model-3-rwd-4p-electrico-/-hibrido-2022-en-guipuzcoa-59506432-covo.aspx
TESLA Model X 100D 4WD,47.500 €,Girona,Eléctrico,2019,117.000 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2019-en-girona-58889439-covo.aspx
TESLA Model S P100D 4WD,40.000 €,A Coruña,Eléctrico,2018,103.073 km,/tesla-model-s-p100d-4wd-5p-electrico-hibrido-2018-en-a-coruna-59559557-covo.aspx
TESLA Model 3 Gran Autonomia AWD,23.990 €,Madrid,Eléctrico,2019,190.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-58352633-covo.aspx
TESLA Model 3 Gran Autonomia AWD,31.500 €,Valencia,Eléctrico,2022,49.990 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2022-en-valencia-59244428-covo.aspx
TESLA Model 3 Estandar Plus RWD,21.999 €,Madrid,Eléctrico,2019,104.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-madrid-59451038-covo.aspx
TESLA Model X Gran Autonomia Plus 4WD,54.900 €,Barcelona,Eléctrico,2021,58.000 km,/tesla-model-x-gran-autonomia-plus-4wd-5p-electrico-/-hibrido-2020-en-barcelona-58880597-covo.aspx
TESLA Model 3 Estandar Plus RWD,31.800 €,Valencia,Eléctrico,2020,124.645 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-valencia-59345586-covo.aspx
TESLA Model S 75D 4WD,22.990 €,A Coruña,Eléctrico,2018,190.000 km,/tesla-model-s-75d-4wd-5p-electrico-hibrido-2018-en-a_coruna-58028947-covo.aspx
TESLA MODEL S 85 D,29.900 €,Lugo,Eléctrico,2015,180.000 km,/tesla-model-s-85-d-electrico-hibrido-2017-en-lugo-59307176-covo.aspx
TESLA Model X 90D 4WD,37.900 €,Barcelona,Eléctrico,2017,74.000 km,/tesla-model-x-90d-4wd-5p-electrico-/-hibrido-2017-en-barcelona-58672275-covo.aspx
TESLA Model Y Traccion Trasera RWD 5p.,34.900 €,Madrid,Eléctrico,2022,69.000 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2022-en-madrid-59128049-covo.aspx
TESLA Model S 100D 4WD,34.500 €,Barcelona,Eléctrico,2017,85.000 km,/tesla-model-s-100d-4wd-5p-electrico-/-hibrido-2017-en-barcelona-59260640-covo.aspx
TESLA Model 3 Performance 4WD,34.990 €,Madrid,Eléctrico,2021,62.113 km,/tesla-model-3-performance-4wd-4p-electrico-hibrido-2021-en-madrid-59505000-covo.aspx
TESLA Model Y Traccion Trasera RWD,33.500 €,Madrid,Eléctrico,2023,35.000 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2023-en-madrid-59163496-covo.aspx
TESLA Model 3 Gran Autonomia AWD,28.000 €,Madrid,Eléctrico,2020,72.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2020-en-madrid-59278672-covo.aspx
TESLA Model Y Performance 4WD,45.000 €,Madrid,Eléctrico,2023,36.000 km,/tesla-model-y-performance-4wd-5p-electrico-hibrido-2023-en-madrid-59408691-covo.aspx
TESLA Model 3 Gran Autonomia AWD,44.900 €,Murcia,Eléctrico,2024,16.700 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2024-en-murcia-59196319-covo.aspx
TESLA Model X 100D 4WD,39.990 €,Barcelona,Eléctrico,2018,112.000 km,/tesla-model-x-100d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-59014274-covo.aspx
TESLA Model 3 Estandar Plus RWD,24.500 €,Vizcaya,Eléctrico,2019,98.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-vizcaya-58741763-covo.aspx
TESLA Model 3 Performance AWD,32.000 €,Burgos,Eléctrico,2022,80.500 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2022-en-madrid-59372350-covo.aspx
TESLA Model 3 Estandar Plus RWD,17.900 €,Vizcaya,Eléctrico,2020,201.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-vizcaya-59506370-covo.aspx
TESLA Model S 75,23.000 €,Valencia,Eléctrico,2017,180.000 km,/tesla-model-s-75-5p-electrico-hibrido-2017-en-valencia-59552969-covo.aspx
TESLA Model X Gran Autonomia 4WD,85.000 €,Madrid,Eléctrico,2023,26.000 km,/tesla-model-x-gran-autonomia-4wd-5p-electrico-hibrido-2023-en-madrid-59428720-covo.aspx
TESLA Model S 90D 4WD,25.990 €,Madrid,Eléctrico,2015,98.000 km,/tesla-model-s-90d-4wd-5p-electrico-hibrido-2017-en-madrid-59530514-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,29.900 €,Madrid,Eléctrico,2021,100.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-madrid-59048964-covo.aspx
TESLA Model 3 RWD,35.500 €,Lugo,Eléctrico,2022,44.580 km,/tesla-model-3-rwd-4p-electrico-/-hibrido-2022-en-lugo-57489787-covo.aspx
TESLA Model Y Gran Autonomia 4WD,38.900 €,Madrid,Eléctrico,2023,69.200 km,/tesla-model-y-gran-autonomia-4wd-5p-electrico-hibrido-2023-en-madrid-59002288-covo.aspx
TESLA Model 3 Gran Autonomia AWD,23.900 €,Barcelona,Eléctrico,2019,155.307 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-barcelona-59489601-covo.aspx
TESLA Model 3 Estandar Plus RWD,23.900 €,Toledo,Eléctrico,2019,95.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-toledo-59065165-covo.aspx
TESLA Model 3 Performance AWD,32.000 €,Barcelona,Eléctrico,2020,88.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2020-en-barcelona-59248978-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,32.450 €,Valencia,Eléctrico,2021,33.340 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-valencia-58808935-covo.aspx
TESLA Model 3 Gran Autonomia AWD,27.990 €,Palencia,Eléctrico,2020,78.436 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-palencia-59311553-covo.aspx
TESLA Model 3 Estandar Plus RWD,24.900 €,Toledo,Eléctrico,2019,88.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-toledo-59361795-covo.aspx
TESLA Model 3 RWD,27.850 €,Barcelona,Eléctrico,2022,65.000 km,/tesla-model-3-rwd-4p-electrico-hibrido-2022-en-barcelona-59341513-covo.aspx
TESLA Model 3 Gran Autonomia AWD,25.900 €,Murcia,Eléctrico,2020,129.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-murcia-59535246-covo.aspx
TESLA Model 3 Gran Autonomia AWD,48.900 €,Madrid,Eléctrico,2024,1 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2024-en-madrid-59463412-covo.aspx
TESLA Model S 100D 4WD,35.500 €,Madrid,Eléctrico,2018,148.000 km,/tesla-model-s-100d-4wd-5p-electrico-hibrido-2018-en-madrid-58959820-covo.aspx
TESLA Model Y Traccion Trasera RWD,34.997 €,A Coruña,Eléctrico,2022,27.200 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2022-en-a_coruna-59261776-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,28.970 €,Granada,Eléctrico,2021,87.523 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-granada-59097857-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,31.890 €,Málaga,Eléctrico,2021,98.226 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-malaga-58417504-covo.aspx
TESLA Model 3 Estandar Plus RWD,32.990 €,Barcelona,Eléctrico,2021,32.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2021-en-barcelona-59478974-covo.aspx
TESLA Model 3 Performance AWD 4p.,34.500 €,Málaga,Eléctrico,2019,109.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-malaga-58919681-covo.aspx
TESLA Model Y Traccion Trasera RWD,35.250 €,Almería,Eléctrico,2022,36.413 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2021-en-almeria-58869502-covo.aspx
TESLA Model S Gran Autonomia 4WD,42.890 €,Madrid,Eléctrico,2019,89.500 km,/tesla-model-s-gran-autonomia-4wd-5p-electrico-/-hibrido-2019-en-madrid-59513431-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,29.000 €,Valencia,Eléctrico,2021,113.800 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-valencia-59377436-covo.aspx
TESLA Model 3 Performance AWD,39.900 €,Madrid,Eléctrico,2021,59.000 km,/tesla-model-3-performance-awd-4p-electrico-/-hibrido-2022-en-madrid-59356229-covo.aspx
TESLA Model 3 Performance AWD,39.990 €,Barcelona,Eléctrico,2023,14.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2022-en-barcelona-58718811-covo.aspx
TESLA Model X 90D 4WD,34.995 €,Madrid,Eléctrico,2017,188.000 km,/tesla-model-x-90d-4wd-5p-electrico-hibrido-2017-en-madrid-58909980-covo.aspx
TESLA Model 3 Gran Autonomia AWD,37.990 €,Madrid,Eléctrico,2023,12 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2022-en-madrid-59013761-covo.aspx
TESLA Model Y Traccion Trasera RWD,35.250 €,Valencia,Eléctrico,2023,29.000 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2023-en-valencia-59360556-covo.aspx
TESLA Model 3 Estandar Plus RWD 4p.,27.700 €,Madrid,Eléctrico,2019,84.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-madrid-58909523-covo.aspx
TESLA Model S Gran Autonomia 4WD,42.000 €,Madrid,Eléctrico,2020,58.000 km,/tesla-model-s-gran-autonomia-4wd-5p-electrico-hibrido-2020-en-madrid-58898374-covo.aspx
TESLA Model X 100D 4WD,34.890 €,Madrid,Eléctrico,2018,55.000 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2018-en-madrid-59447147-covo.aspx
TESLA Model S Ludicrous Performance 4WD,55.900 €,Murcia,Eléctrico,2020,52.000 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-murcia-58332622-covo.aspx
TESLA Model S 75,18.500 €,Navarra,Eléctrico,2017,380.000 km,/tesla-model-s-75-5p-electrico-hibrido-2017-en-navarra-59182594-covo.aspx
TESLA Model Y Traccion Trasera RWD,40.990 €,Almería,Eléctrico,2024,11.421 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2021-en-almeria-59542822-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.850 €,Barcelona,Eléctrico,2020,77.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-barcelona-59504014-covo.aspx
TESLA Model 3 Gran Autonomia RWD,26.000 €,Madrid,Eléctrico,2019,148.000 km,/tesla-model-3-gran-autonomia-rwd-4p-electrico-hibrido-2019-en-madrid-59035141-covo.aspx
TESLA Model 3 Estandar Plus RWD,31.500 €,Sevilla,Eléctrico,2021,49.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2021-en-sevilla-59175632-covo.aspx
TESLA Model Y Gran Autonomia 4WD,43.000 €,Girona,Eléctrico,2022,60.000 km,/tesla-model-y-gran-autonomia-4wd-5p-electrico-hibrido-2022-en-girona-59536190-covo.aspx
TESLA Model S 90D 4WD,27.990 €,Asturias,Eléctrico,2017,215.000 km,/tesla-model-s-90d-4wd-5p-electrico-/-hibrido-2017-en-asturias-58062567-covo.aspx
TESLA Model 3 Gran Autonomia AWD,37.890 €,Málaga,Eléctrico,2023,55.852 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2022-en-malaga-59288971-covo.aspx
TESLA Model S P100D 4WD 5p.,49.990 €,Madrid,Eléctrico,2018,81.000 km,/tesla-model-s-p100d-4wd-5p-electrico-hibrido-2018-en-madrid-54437459-covo.aspx
TESLA Model 3 Gran Autonomia AWD,28.890 €,A Coruña,Eléctrico,2020,90.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-a-coruna-59216958-covo.aspx
TESLA Model 3 Performance 4WD,37.900 €,Barcelona,Eléctrico,2022,55.000 km,/tesla-model-3-performance-4wd-4p-electrico-/-hibrido-2021-en-barcelona-58378402-covo.aspx
TESLA Model X Autonomia Estandar 4WD,51.000 €,Barcelona,Eléctrico,2019,80.000 km,/tesla-model-x-autonomia-estandar-4wd-5p-electrico-hibrido-2019-en-barcelona-59436650-covo.aspx
TESLA Model S 75D 4WD,22.800 €,Ciudad Real,Eléctrico,2019,189.000 km,/tesla-model-s-75d-4wd-5p-electrico-hibrido-2018-en-ciudad-real-57302255-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,33.990 €,Madrid,Eléctrico,2021,42.901 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-madrid-59462704-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,34.500 €,Murcia,Eléctrico,2021,44.974 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-murcia-59361946-covo.aspx
TESLA Model 3 Estandar Plus RWD,25.490 €,Madrid,Eléctrico,2019,87.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-madrid-59477861-covo.aspx
TESLA Model 3 Performance AWD,28.990 €,Madrid,Eléctrico,2019,172.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-madrid-59337243-covo.aspx
TESLA Model 3 Estandar Plus RWD,24.700 €,Valencia,Eléctrico,2021,41.600 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2021-en-valencia-59177879-covo.aspx
TESLA Model 3 Gran Autonomia 4WD 4p.,33.000 €,Valencia,Eléctrico,2020,79.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2020-en-valencia-58195191-covo.aspx
TESLA Model 3 Performance 4WD,32.999 €,Córdoba,Eléctrico,2020,72.500 km,/tesla-model-3-performance-4wd-4p-electrico-hibrido-2021-en-cordoba-59517677-covo.aspx
TESLA Model 3 Gran Autonomia AWD,32.900 €,Alicante,Eléctrico,2021,32.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-alicante-59553366-covo.aspx
TESLA Model 3 RWD,29.900 €,Madrid,Eléctrico,2022,45.000 km,/tesla-model-3-rwd-4p-electrico-/-hibrido-2022-en-madrid-59524018-covo.aspx
TESLA Model 3 Performance AWD,37.990 €,Barcelona,Eléctrico,2022,25.000 km,/tesla-model-3-performance-awd-4p-electrico-/-hibrido-2022-en-barcelona-59114399-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.900 €,Madrid,Eléctrico,2020,116.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59356270-covo.aspx
TESLA Model 3 RWD,32.750 €,Girona,Eléctrico,2022,35.346 km,/tesla-model-3-rwd-4p-electrico-hibrido-2022-en-girona-59532333-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.490 €,Madrid,Eléctrico,2019,81.803 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59505774-covo.aspx
TESLA Model S 75D 4WD,42.995 €,Barcelona,Eléctrico,2018,69.946 km,/tesla-model-s-75d-4wd-electrico-hibrido-2018-en-barcelona-55618020-covo.aspx
TESLA Model X 75D 4WD,35.600 €,Alicante,Eléctrico,2018,72.365 km,/tesla-model-x-75d-4wd-5p-electrico-/-hibrido-2018-en-alicante-58903272-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,28.300 €,Barcelona,Eléctrico,2021,149.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-barcelona-58993392-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.900 €,Vizcaya,Eléctrico,2019,127.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-vizcaya-58803449-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.850 €,Madrid,Eléctrico,2020,26.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-59504100-covo.aspx
TESLA Model S 75D 4WD,38.900 €,Murcia,Eléctrico,2019,39.000 km,/tesla-model-s-75d-4wd-5p-electrico-hibrido-2019-en-murcia-59515361-covo.aspx
TESLA Model X 90D 4WD,33.500 €,Valencia,Eléctrico,2017,207.315 km,/tesla-model-x-90d-4wd-5p-electrico-/-hibrido-2017-en-valencia-59102827-covo.aspx
TESLA Model X 100D 4WD,54.990 €,Vizcaya,Eléctrico,2019,85.000 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2018-en-vizcaya-55385655-covo.aspx
TESLA Model X P100D 4WD,41.990 €,Madrid,Eléctrico,2018,89.000 km,/tesla-model-x-p100d-4wd-5p-electrico-hibrido-2018-en-madrid-59463279-covo.aspx
TESLA Model 3 Performance 4WD,34.990 €,Barcelona,Eléctrico,2021,65.000 km,/tesla-model-3-performance-4wd-4p-electrico-/-hibrido-2021-en-barcelona-58686224-covo.aspx
TESLA Model S 100D 4WD 5p.,44.990 €,Murcia,Eléctrico,2018,98.500 km,/tesla-model-s-100d-4wd-5p-electrico-hibrido-2018-en-murcia-57485180-covo.aspx
TESLA Model 3 Gran Autonomia RWD,25.900 €,Vizcaya,Eléctrico,2019,123.000 km,/tesla-model-3-gran-autonomia-rwd-4p-electrico-/-hibrido-2019-en-vizcaya-59140809-covo.aspx
TESLA Model 3 Gran Autonomia RWD,45.000 €,Asturias,Eléctrico,2024,3000 km,/tesla-model-3-gran-autonomia-rwd-4p-electrico-hibrido-2024-en-asturias-59526397-covo.aspx
TESLA Model 3 Performance AWD,35.800 €,Barcelona,Eléctrico,2021,34.737 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2021-en-barcelona-59452624-covo.aspx
TESLA Model 3 Gran Autonomia AWD,23.950 €,Valencia,Eléctrico,2020,155.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-valencia-59476115-covo.aspx
TESLA Model 3 RWD 4p.,23.500 €,Tarragona,Eléctrico,2021,112.000 km,/tesla-model-3-rwd-4p-electrico-hibrido-2021-en-tarragona-59076024-covo.aspx
TESLA Model 3 RWD,41.500 €,Badajoz,Eléctrico,2024,2490 km,/tesla-model-3-rwd-4p-electrico-/-hibrido-2024-en-badajoz-58985787-covo.aspx
TESLA Model S 100D 4WD,39.900 €,Málaga,Eléctrico,2018,94.000 km,/tesla-model-s-100d-4wd-5p-electrico-hibrido-2018-en-malaga-59455001-covo.aspx
TESLA Model Y Gran Autonomia 4WD,38.900 €,Valencia,Eléctrico,2022,42.000 km,/tesla-model-y-gran-autonomia-4wd-5p-electrico-hibrido-2021-en-valencia-59470499-covo.aspx
TESLA Model 3 RWD,36.500 €,Barcelona,Eléctrico,2024,8150 km,/tesla-model-3-rwd-4p-electrico-hibrido-2024-en-barcelona-59263614-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.000 €,Murcia,Eléctrico,2020,150.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2020-en-murcia-59016979-covo.aspx
TESLA Model 3 Gran Autonomia AWD,25.940 €,Madrid,Eléctrico,2019,124.839 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59055251-covo.aspx
TESLA Model Y Gran Autonomia 4WD,14.900 €,Madrid,Eléctrico,2023,3200 km,/tesla-model-y-gran-autonomia-4wd-5p-electrico-/-hibrido-2021-en-madrid-59367556-covo.aspx
TESLA Model S Performance Ludicrous 4WD,47.900 €,Sta. C. Tenerife,Eléctrico,2019,60.000 km,/tesla-model-s-performance-ludicrous-4wd-5p-electrico-hibrido-2019-en-sta_c_tenerife-58494977-covo.aspx
TESLA Model 3 RWD,29.800 €,Valencia,Eléctrico,2022,40.500 km,/tesla-model-3-rwd-4p-electrico-hibrido-2022-en-valencia-59507083-covo.aspx
TESLA Model X 75D 4WD,49.995 €,Barcelona,Eléctrico,2018,88.281 km,/tesla-model-x-75d-4wd-electrico-hibrido-2018-en-barcelona-55440499-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,21.950 €,Madrid,Eléctrico,2020,218.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2020-en-madrid-58997159-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.850 €,Madrid,Eléctrico,2020,128.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-59504096-covo.aspx
TESLA Model 3 Performance AWD,33.890 €,Madrid,Eléctrico,2021,54.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2021-en-madrid-59324961-covo.aspx
TESLA Model S P100D 4WD,59.900 €,Lugo,Eléctrico,2017,56.000 km,/tesla-model-s-p100d-4wd-5p-electrico-/-hibrido-2017-en-lugo-59364075-covo.aspx
TESLA Model 3 Gran Autonomia AWD,23.500 €,Sevilla,Eléctrico,2020,196.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2020-en-sevilla-59531844-covo.aspx
